UID          PID    PPID     LWP  C NLWP STIME TTY          TIME CMD
root         191       2     191  0    1 Feb13 ?        00:00:00 [kworker/R-scsi_tmf_5]
root         192       2     192  0    1 Feb13 ?        00:00:00 [scsi_eh_6]
root         193       2     193  0    1 Feb13 ?        00:00:00 [kworker/R-scsi_tmf_6]
root         194       2     194  0    1 Feb13 ?        00:00:00 [scsi_eh_7]
root         195       2     195  0    1 Feb13 ?        00:00:00 [kworker/R-scsi_tmf_7]
root         205       2     205  0    1 Feb13 ?        00:00:00 [kworker/R-hfi-updates]
root         207       2     207  0    1 Feb13 ?        00:00:00 [kworker/R-dm_bufio_cache]
root         209       2     209  0    1 Feb13 ?        00:00:00 [kworker/R-mld]
root         211       2     211  0    1 Feb13 ?        00:00:00 [kworker/R-ipv6_addrconf]
root         212       2     212  0    1 Feb13 ?        00:00:00 [kworker/14:1H-kblockd]
root         213       2     213  0    1 Feb13 ?        00:00:00 [kworker/R-kstrp]
root         298       2     298  0    1 Feb13 ?        00:00:02 [kworker/6:1H-i915_cleanup]
root         301       2     301  0    1 Feb13 ?        00:00:01 [kworker/0:1H-i915_cleanup]
root         303       2     303  0    1 Feb13 ?        00:00:02 [kworker/4:1H-i915_cleanup]
root         346       2     346  0    1 Feb13 ?        00:00:02 [kworker/19:1H-i915_cleanup]
root         349       2     349  0    1 Feb13 ?        00:00:01 [kworker/2:1H-i915_cleanup]
root         351       2     351  0    1 Feb13 ?        00:00:01 [kworker/8:1H-i915_cleanup]
root         354       2     354  0    1 Feb13 ?        00:00:01 [kworker/13:1H-i915_cleanup]
root         355       2     355  0    1 Feb13 ?        00:00:01 [kworker/12:1H-kblockd]
root         356       2     356  0    1 Feb13 ?        00:00:01 [kworker/10:1H-kblockd]
root         388       2     388  0    1 Feb13 ?        00:00:02 [kworker/17:1H-i915_cleanup]
root         516       2     516  0    1 Feb13 ?        00:00:11 [kworker/3:1H-events_highpri]
root         527       2     527  0    1 Feb13 ?        00:00:00 [kworker/15:1H-kblockd]
root         530       2     530  0    1 Feb13 ?        00:00:00 [kworker/5:1H-kblockd]
root         531       2     531  0    1 Feb13 ?        00:00:03 [kworker/9:1H-kblockd]
root         532       2     532  0    1 Feb13 ?        00:00:05 [kworker/11:1H-i915_cleanup]
root         533       2     533  0    1 Feb13 ?        00:00:02 [kworker/18:1H-i915_cleanup]
root         534       2     534  0    1 Feb13 ?        00:00:01 [kworker/7:1H-kblockd]
root         535       2     535  0    1 Feb13 ?        00:00:00 [kworker/1:1H-kblockd]
root         540       2     540  0    1 Feb13 ?        00:01:52 [irq/132-GXTP5100:00]
root         555       2     555  0    1 Feb13 ?        00:00:00 [kworker/R-nvme-wq]
root         556       2     556  0    1 Feb13 ?        00:00:00 [kworker/R-nvme-reset-wq]
root         557       2     557  0    1 Feb13 ?        00:00:00 [kworker/R-nvme-delete-wq]
root         558       2     558  0    1 Feb13 ?        00:00:00 [kworker/R-nvme-auth-wq]
root         560       2     560  0    1 Feb13 ?        00:00:00 [kworker/R-USBC000:00-con1]
root         572       2     572  0    1 Feb13 ?        00:00:00 [kworker/R-ttm]
root         577       2     577  0    1 Feb13 ?        00:00:00 [kworker/R-btrfs-worker]
root         578       2     578  0    1 Feb13 ?        00:00:00 [kworker/R-btrfs-delalloc]
root         579       2     579  0    1 Feb13 ?        00:00:00 [kworker/R-btrfs-flush_delalloc]
root         580       2     580  0    1 Feb13 ?        00:00:00 [kworker/R-btrfs-cache]
root         581       2     581  0    1 Feb13 ?        00:00:00 [kworker/R-btrfs-fixup]
root         582       2     582  0    1 Feb13 ?        00:00:00 [kworker/R-btrfs-endio]
root         583       2     583  0    1 Feb13 ?        00:00:00 [kworker/R-btrfs-endio-meta]
root         584       2     584  0    1 Feb13 ?        00:00:00 [kworker/R-btrfs-rmw]
root         585       2     585  0    1 Feb13 ?        00:00:00 [kworker/R-btrfs-endio-write]
root         586       2     586  0    1 Feb13 ?        00:00:00 [kworker/R-btrfs-compressed-write]
root         587       2     587  0    1 Feb13 ?        00:00:00 [kworker/R-btrfs-freespace-write]
root         588       2     588  0    1 Feb13 ?        00:00:00 [kworker/R-btrfs-delayed-meta]
root         589       2     589  0    1 Feb13 ?        00:00:00 [kworker/R-btrfs-qgroup-rescan]
root         590       2     590  0    1 Feb13 ?        00:00:00 [btrfs-cleaner]
root         591       2     591  0    1 Feb13 ?        00:01:57 [btrfs-transaction]
root         592       2     592  0    1 Feb13 ?        00:00:00 [card1-crtc0]
root         593       2     593  0    1 Feb13 ?        00:00:00 [card1-crtc1]
root         594       2     594  0    1 Feb13 ?        00:00:00 [card1-crtc2]
root         595       2     595  0    1 Feb13 ?        00:00:00 [card1-crtc3]
root         676       2     676  0    1 Feb13 ?        00:00:00 [psimon]
root         687       1     687  0    1 Feb13 ?        00:00:19 /usr/lib/systemd/systemd-journald
root         715       1     715  0    1 Feb13 ?        00:00:00 /usr/lib/systemd/systemd-userdbd
root         724       1     724  0    1 Feb13 ?        00:00:01 /usr/lib/systemd/systemd-udevd
root         735       2     735  0    1 Feb13 ?        00:00:00 [psimon]
root         887       2     887  0    1 Feb13 ?        00:00:00 [kworker/R-cfg80211]
root         911       2     911  0    1 Feb13 ?        00:00:00 [nv_queue]
root         912       2     912  0    1 Feb13 ?        00:00:00 [nv_queue]
root         913       2     913  0    1 Feb13 ?        00:00:00 [nv_open_q]
root         918       2     918  0    1 Feb13 ?        00:00:30 [irq/156-iwlwifi:default_queue]
root         919       2     919  0    1 Feb13 ?        00:00:00 [irq/157-iwlwifi:queue_1]
root         920       2     920  0    1 Feb13 ?        00:00:00 [irq/158-iwlwifi:queue_2]
root         921       2     921  0    1 Feb13 ?        00:00:00 [irq/159-iwlwifi:queue_3]
root         924       2     924  0    1 Feb13 ?        00:00:17 [irq/160-iwlwifi:queue_4]
root         926       2     926  0    1 Feb13 ?        00:00:00 [irq/161-iwlwifi:queue_5]
root         927       2     927  0    1 Feb13 ?        00:00:00 [irq/162-iwlwifi:queue_6]
root         928       2     928  0    1 Feb13 ?        00:00:00 [irq/163-iwlwifi:queue_7]
root         929       2     929  0    1 Feb13 ?        00:00:03 [irq/164-iwlwifi:queue_8]
root         930       2     930  0    1 Feb13 ?        00:00:04 [irq/165-iwlwifi:queue_9]
root         931       2     931  0    1 Feb13 ?        00:00:03 [irq/166-iwlwifi:queue_10]
root         932       2     932  0    1 Feb13 ?        00:00:00 [irq/167-iwlwifi:queue_11]
root         933       2     933  0    1 Feb13 ?        00:00:00 [irq/168-iwlwifi:queue_12]
root         934       2     934  0    1 Feb13 ?        00:00:00 [irq/169-iwlwifi:queue_13]
root         935       2     935  0    1 Feb13 ?        00:00:00 [irq/170-iwlwifi:queue_14]
root         936       2     936  0    1 Feb13 ?        00:00:00 [irq/171-iwlwifi:exception]
root         948       2     948  0    1 Feb13 ?        00:00:00 [irq/16-processor_thermal_device_pci]
root         956       2     956  0    1 Feb13 ?        00:00:00 [nvidia-modeset/kthread_q]
root         957       2     957  0    1 Feb13 ?        00:00:00 [nvidia-modeset/deferred_close_kthread_q]
root        1023       2    1023  0    1 Feb13 ?        00:00:00 [jbd2/nvme0n1p6-8]
root        1024       2    1024  0    1 Feb13 ?        00:00:00 [kworker/R-ext4-rsv-conversion]
systemd+    1101       1    1101  0    1 Feb13 ?        00:01:02 /usr/lib/systemd/systemd-oomd
systemd+    1103       1    1103  0    1 Feb13 ?        00:00:26 /usr/lib/systemd/systemd-resolved
root        1104       1    1104  0    2 Feb13 ?        00:00:00 /usr/bin/auditd
root        1104       1    1105  0    2 Feb13 ?        00:00:00 /usr/bin/auditd
dbus        1135       1    1135  0    1 Feb13 ?        00:00:00 /usr/bin/dbus-broker-launch --scope system --audit
dbus        1136    1135    1136  0    1 Feb13 ?        00:00:07 dbus-broker --log 10 --controller 9 --machine-id 13facde82a574414b20cddf3a34e86e2 --max-bytes 536870912 --max-fds 4096 --max-matches 131072 --audit
avahi       1139       1    1139  0    1 Feb13 ?        00:00:00 avahi-daemon: running [fedora.local]
root        1140       2    1140  0    1 Feb13 ?        00:00:00 [irq/174-nvidia]
root        1142       2    1142  0    1 Feb13 ?        00:00:00 [nv_queue]
root        1146       1    1146  0    1 Feb13 ?        00:00:00 /usr/libexec/bluetooth/bluetoothd
root        1155       1    1155  0    2 Feb13 ?        00:00:08 /usr/sbin/irqbalance
root        1155       1    1235  0    2 Feb13 ?        00:00:00 /usr/sbin/irqbalance
chrony      1159       1    1159  0    1 Feb13 ?        00:00:00 /usr/sbin/chronyd -n -F 2
root        1164       1    1164  0    4 Feb13 ?        00:00:00 /usr/libexec/low-memory-monitor
root        1164       1    1220  0    4 Feb13 ?        00:00:00 /usr/libexec/low-memory-monitor
root        1164       1    1221  0    4 Feb13 ?        00:00:00 /usr/libexec/low-memory-monitor
root        1164       1    1223  0    4 Feb13 ?        00:00:00 /usr/libexec/low-memory-monitor
root        1167       1    1167  0    1 Feb13 ?        00:00:00 /usr/sbin/mcelog --daemon --foreground
root        1168       1    1168  0    5 Feb13 ?        00:00:28 /usr/bin/nvidia-powerd
root        1168       1    1635  0    5 Feb13 ?        00:00:00 /usr/bin/nvidia-powerd
root        1168       1    1647  0    5 Feb13 ?        00:00:03 /usr/bin/nvidia-powerd
root        1168       1    1648  0    5 Feb13 ?        00:00:02 /usr/bin/nvidia-powerd
root        1168       1    1649  0    5 Feb13 ?        00:00:05 /usr/bin/nvidia-powerd
polkitd     1169       1    1169  0    4 Feb13 ?        00:00:07 /usr/lib/polkit-1/polkitd --no-debug --log-level=notice
polkitd     1169       1    1274  0    4 Feb13 ?        00:00:01 /usr/lib/polkit-1/polkitd --no-debug --log-level=notice
polkitd     1169       1    1276  0    4 Feb13 ?        00:00:00 /usr/lib/polkit-1/polkitd --no-debug --log-level=notice
polkitd     1169       1    1283  0    4 Feb13 ?        00:00:01 /usr/lib/polkit-1/polkitd --no-debug --log-level=notice
rtkit       1170       1    1170  0    3 Feb13 ?        00:00:00 /usr/libexec/rtkit-daemon
rtkit       1170       1    1231  0    3 Feb13 ?        00:00:00 /usr/libexec/rtkit-daemon
rtkit       1170       1    1232  0    3 Feb13 ?        00:00:00 /usr/libexec/rtkit-daemon
root        1171       1    1171  0    1 Feb13 ?        00:00:00 /usr/bin/smartd -n -q never --capabilities=mail
root        1172       1    1172  0    4 Feb13 ?        00:00:00 /usr/libexec/accounts-daemon
root        1172       1    1242  0    4 Feb13 ?        00:00:00 /usr/libexec/accounts-daemon
root        1172       1    1243  0    4 Feb13 ?        00:00:02 /usr/libexec/accounts-daemon
root        1172       1    1245  0    4 Feb13 ?        00:00:00 /usr/libexec/accounts-daemon
root        1173       1    1173  0    4 Feb13 ?        00:00:00 /usr/libexec/switcheroo-control
root        1173       1    1227  0    4 Feb13 ?        00:00:00 /usr/libexec/switcheroo-control
root        1173       1    1228  0    4 Feb13 ?        00:00:00 /usr/libexec/switcheroo-control
root        1173       1    1230  0    4 Feb13 ?        00:00:00 /usr/libexec/switcheroo-control
root        1177       1    1177  0    1 Feb13 ?        00:00:02 /usr/lib/systemd/systemd-homed
root        1180       1    1180  0    1 Feb13 ?        00:00:03 /usr/lib/systemd/systemd-logind
root        1181       1    1181  0    1 Feb13 ?        00:00:02 /usr/lib/systemd/systemd-machined
root        1185       1    1185  0    5 Feb13 ?        00:00:00 /usr/bin/thermald --systemd --dbus-enable --adaptive
root        1185       1    1200  0    5 Feb13 ?        00:00:00 /usr/bin/thermald --systemd --dbus-enable --adaptive
root        1185       1    1202  0    5 Feb13 ?        00:00:00 /usr/bin/thermald --systemd --dbus-enable --adaptive
root        1185       1    1207  0    5 Feb13 ?        00:00:00 /usr/bin/thermald --systemd --dbus-enable --adaptive
root        1185       1    1395  0    5 Feb13 ?        00:00:28 /usr/bin/thermald --systemd --dbus-enable --adaptive
root        1189       1    1189  0    7 Feb13 ?        00:00:00 /usr/libexec/udisks2/udisksd
root        1189       1    1201  0    7 Feb13 ?        00:00:00 /usr/libexec/udisks2/udisksd
