USER         PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
root           1  0.0  0.0  43792 14168 ?        Ss   Feb13   0:08 /usr/lib/systemd/systemd --switched-root --system --deserialize=60 rhgb
root          97  0.0  0.0      0     0 ?        S    Feb13   0:03 [migration/19]
root          98  0.0  0.0      0     0 ?        S    Feb13   0:00 [ksoftirqd/19]
root         100  0.0  0.0      0     0 ?        I<   Feb13   0:00 [kworker/19:0H-events_highpri]
root         101  0.0  0.0      0     0 ?        S    Feb13   0:00 [cpuhp/1]
root         102  0.0  0.0      0     0 ?        S    Feb13   0:00 [idle_inject/1]
root         103  0.0  0.0      0     0 ?        S    Feb13   0:00 [migration/1]
root         104  0.0  0.0      0     0 ?        S    Feb13   0:02 [ksoftirqd/1]
root         106  0.0  0.0      0     0 ?        I<   Feb13   0:00 [kworker/1:0H-events_highpri]
root         107  0.0  0.0      0     0 ?        S    Feb13   0:00 [cpuhp/3]
root         108  0.0  0.0      0     0 ?        S    Feb13   0:00 [idle_inject/3]
root         109  0.0  0.0      0     0 ?        S    Feb13   0:00 [migration/3]
root         110  0.0  0.0      0     0 ?        S    Feb13   0:00 [ksoftirqd/3]
root         112  0.0  0.0      0     0 ?        I<   Feb13   0:00 [kworker/3:0H-events_highpri]
root         113  0.0  0.0      0     0 ?        S    Feb13   0:00 [cpuhp/5]
root         114  0.0  0.0      0     0 ?        S    Feb13   0:00 [idle_inject/5]
root         115  0.0  0.0      0     0 ?        S    Feb13   0:00 [migration/5]
root         116  0.0  0.0      0     0 ?        S    Feb13   0:00 [ksoftirqd/5]
root         118  0.0  0.0      0     0 ?        I<   Feb13   0:00 [kworker/5:0H-events_highpri]
root         119  0.0  0.0      0     0 ?        S    Feb13   0:00 [cpuhp/7]
root         120  0.0  0.0      0     0 ?        S    Feb13   0:00 [idle_inject/7]
root         121  0.0  0.0      0     0 ?        S    Feb13   0:00 [migration/7]
root         122  0.0  0.0      0     0 ?        S    Feb13   0:00 [ksoftirqd/7]
root         124  0.0  0.0      0     0 ?        I<   Feb13   0:00 [kworker/7:0H-events_highpri]
root         125  0.0  0.0      0     0 ?        S    Feb13   0:00 [cpuhp/9]
root         126  0.0  0.0      0     0 ?        S    Feb13   0:00 [idle_inject/9]
root         127  0.0  0.0      0     0 ?        S    Feb13   0:00 [migration/9]
root         128  0.0  0.0      0     0 ?        S    Feb13   0:00 [ksoftirqd/9]
root         130  0.0  0.0      0     0 ?        I<   Feb13   0:00 [kworker/9:0H-events_highpri]
root         131  0.0  0.0      0     0 ?        S    Feb13   0:00 [cpuhp/11]
root         132  0.0  0.0      0     0 ?        S    Feb13   0:00 [idle_inject/11]
root         133  0.0  0.0      0     0 ?        S    Feb13   0:00 [migration/11]
root         134  0.0  0.0      0     0 ?        S    Feb13   0:00 [ksoftirqd/11]
root         136  0.0  0.0      0     0 ?        I<   Feb13   0:00 [kworker/11:0H-events_highpri]
root         137  0.0  0.0      0     0 ?        S    Feb13   0:00 [kdevtmpfs]
root         138  0.0  0.0      0     0 ?        I<   Feb13   0:00 [kworker/R-inet_frag_wq]
root         139  0.0  0.0      0     0 ?        I    Feb13   0:00 [rcu_tasks_kthread]
root         140  0.0  0.0      0     0 ?        I    Feb13   0:00 [rcu_tasks_rude_kthread]
root         141  0.0  0.0      0     0 ?        I    Feb13   0:00 [rcu_tasks_trace_kthread]
root         142  0.0  0.0      0     0 ?        S    Feb13   0:00 [kauditd]
root         143  0.0  0.0      0     0 ?        S    Feb13   0:00 [oom_reaper]
root         145  0.0  0.0      0     0 ?        I<   Feb13   0:00 [kworker/R-writeback]
root         146  0.0  0.0      0     0 ?        S    Feb13   0:07 [kcompactd0]
root         147  0.0  0.0      0     0 ?        SN   Feb13   0:00 [ksmd]
root         148  0.0  0.0      0     0 ?        SN   Feb13   0:02 [khugepaged]
root         149  0.0  0.0      0     0 ?        I<   Feb13   0:00 [kworker/R-kblockd]
root         150  0.0  0.0      0     0 ?        I<   Feb13   0:00 [kworker/R-blkcg_punt_bio]
root         151  0.0  0.0      0     0 ?        I<   Feb13   0:00 [kworker/R-kintegrityd]
root         153  0.0  0.0      0     0 ?        S    Feb13   0:00 [irq/9-acpi]
root         154  0.0  0.0      0     0 ?        I<   Feb13   0:00 [kworker/R-tpm_dev_wq]
root         155  0.0  0.0      0     0 ?        I<   Feb13   0:00 [kworker/R-ata_sff]
root         156  0.0  0.0      0     0 ?        I<   Feb13   0:00 [kworker/R-md_bitmap]
root         157  0.0  0.0      0     0 ?        I<   Feb13   0:00 [kworker/R-md]
root         158  0.0  0.0      0     0 ?        I<   Feb13   0:00 [kworker/R-edac-poller]
root         159  0.0  0.0      0     0 ?        I<   Feb13   0:00 [kworker/R-devfreq_wq]
root         160  0.0  0.0      0     0 ?        S    Feb13   0:00 [watchdogd]
root         162  0.0  0.0      0     0 ?        I<   Feb13   0:00 [kworker/R-quota_events_unbound]
root         164  0.0  0.0      0     0 ?        I<   Feb13   0:04 [kworker/16:1H-i915_cleanup]
root         166  0.0  0.0      0     0 ?        S    Feb13   1:05 [kswapd0]
root         167  0.0  0.0      0     0 ?        I<   Feb13   0:00 [kworker/R-cryptd]
root         171  0.0  0.0      0     0 ?        I<   Feb13   0:00 [kworker/R-kthrotld]
root         172  0.0  0.0      0     0 ?        S    Feb13   0:00 [irq/120-pciehp]
root         173  0.0  0.0      0     0 ?        I<   Feb13   0:00 [kworker/R-acpi_thermal_pm]
root         175  0.0  0.0      0     0 ?        S    Feb13   0:00 [hwrng]
root         180  0.0  0.0      0     0 ?        S    Feb13   0:00 [scsi_eh_0]
root         181  0.0  0.0      0     0 ?        I<   Feb13   0:00 [kworker/R-scsi_tmf_0]
root         182  0.0  0.0      0     0 ?        S    Feb13   0:00 [scsi_eh_1]
root         183  0.0  0.0      0     0 ?        I<   Feb13   0:00 [kworker/R-scsi_tmf_1]
root         184  0.0  0.0      0     0 ?        S    Feb13   0:00 [scsi_eh_2]
root         185  0.0  0.0      0     0 ?        I<   Feb13   0:00 [kworker/R-scsi_tmf_2]
root         186  0.0  0.0      0     0 ?        S    Feb13   0:00 [scsi_eh_3]
root         187  0.0  0.0      0     0 ?        I<   Feb13   0:00 [kworker/R-scsi_tmf_3]
root         188  0.0  0.0      0     0 ?        S    Feb13   0:00 [scsi_eh_4]
root         189  0.0  0.0      0     0 ?        I<   Feb13   0:00 [kworker/R-scsi_tmf_4]
root         190  0.0  0.0      0     0 ?        S    Feb13   0:00 [scsi_eh_5]
root         191  0.0  0.0      0     0 ?        I<   Feb13   0:00 [kworker/R-scsi_tmf_5]
root         192  0.0  0.0      0     0 ?        S    Feb13   0:00 [scsi_eh_6]
root         193  0.0  0.0      0     0 ?        I<   Feb13   0:00 [kworker/R-scsi_tmf_6]
root         194  0.0  0.0      0     0 ?        S    Feb13   0:00 [scsi_eh_7]
root         195  0.0  0.0      0     0 ?        I<   Feb13   0:00 [kworker/R-scsi_tmf_7]
root         205  0.0  0.0      0     0 ?        I<   Feb13   0:00 [kworker/R-hfi-updates]
root         207  0.0  0.0      0     0 ?        I<   Feb13   0:00 [kworker/R-dm_bufio_cache]
root         209  0.0  0.0      0     0 ?        I<   Feb13   0:00 [kworker/R-mld]
root         211  0.0  0.0      0     0 ?        I<   Feb13   0:00 [kworker/R-ipv6_addrconf]
root         212  0.0  0.0      0     0 ?        I<   Feb13   0:00 [kworker/14:1H-kblockd]
root         213  0.0  0.0      0     0 ?        I<   Feb13   0:00 [kworker/R-kstrp]
root         298  0.0  0.0      0     0 ?        I<   Feb13   0:02 [kworker/6:1H-i915_cleanup]
root         301  0.0  0.0      0     0 ?        I<   Feb13   0:01 [kworker/0:1H-i915_cleanup]
root         303  0.0  0.0      0     0 ?        I<   Feb13   0:02 [kworker/4:1H-i915_cleanup]
root         346  0.0  0.0      0     0 ?        I<   Feb13   0:02 [kworker/19:1H-i915_cleanup]
root         349  0.0  0.0      0     0 ?        I<   Feb13   0:01 [kworker/2:1H-i915_cleanup]
root         351  0.0  0.0      0     0 ?        I<   Feb13   0:01 [kworker/8:1H-i915_cleanup]
root         354  0.0  0.0      0     0 ?        I<   Feb13   0:01 [kworker/13:1H-i915_cleanup]
root         355  0.0  0.0      0     0 ?        I<   Feb13   0:01 [kworker/12:1H-kblockd]
root         356  0.0  0.0      0     0 ?        I<   Feb13   0:01 [kworker/10:1H-kblockd]
root         388  0.0  0.0      0     0 ?        I<   Feb13   0:02 [kworker/17:1H-i915_cleanup]
root         516  0.0  0.0      0     0 ?        I<   Feb13   0:11 [kworker/3:1H-events_highpri]
root         527  0.0  0.0      0     0 ?        I<   Feb13   0:00 [kworker/15:1H-kblockd]
root         530  0.0  0.0      0     0 ?        I<   Feb13   0:00 [kworker/5:1H-kblockd]
root         531  0.0  0.0      0     0 ?        I<   Feb13   0:03 [kworker/9:1H-kblockd]
root         532  0.0  0.0      0     0 ?        I<   Feb13   0:05 [kworker/11:1H-i915_cleanup]
root         533  0.0  0.0      0     0 ?        I<   Feb13   0:02 [kworker/18:1H-i915_cleanup]
root         534  0.0  0.0      0     0 ?        I<   Feb13   0:01 [kworker/7:1H-kblockd]
root         535  0.0  0.0      0     0 ?        I<   Feb13   0:00 [kworker/1:1H-kblockd]
root         540  0.0  0.0      0     0 ?        S    Feb13   1:52 [irq/132-GXTP5100:00]
root         555  0.0  0.0      0     0 ?        I<   Feb13   0:00 [kworker/R-nvme-wq]
root         556  0.0  0.0      0     0 ?        I<   Feb13   0:00 [kworker/R-nvme-reset-wq]
root         557  0.0  0.0      0     0 ?        I<   Feb13   0:00 [kworker/R-nvme-delete-wq]
root         558  0.0  0.0      0     0 ?        I<   Feb13   0:00 [kworker/R-nvme-auth-wq]
root         560  0.0  0.0      0     0 ?        I<   Feb13   0:00 [kworker/R-USBC000:00-con1]
root         572  0.0  0.0      0     0 ?        I<   Feb13   0:00 [kworker/R-ttm]
root         577  0.0  0.0      0     0 ?        I<   Feb13   0:00 [kworker/R-btrfs-worker]
root         578  0.0  0.0      0     0 ?        I<   Feb13   0:00 [kworker/R-btrfs-delalloc]
root         579  0.0  0.0      0     0 ?        I<   Feb13   0:00 [kworker/R-btrfs-flush_delalloc]
root         580  0.0  0.0      0     0 ?        I<   Feb13   0:00 [kworker/R-btrfs-cache]
root         581  0.0  0.0      0     0 ?        I<   Feb13   0:00 [kworker/R-btrfs-fixup]
root         582  0.0  0.0      0     0 ?        I<   Feb13   0:00 [kworker/R-btrfs-endio]
root         583  0.0  0.0      0     0 ?        I<   Feb13   0:00 [kworker/R-btrfs-endio-meta]
root         584  0.0  0.0      0     0 ?        I<   Feb13   0:00 [kworker/R-btrfs-rmw]
root         585  0.0  0.0      0     0 ?        I<   Feb13   0:00 [kworker/R-btrfs-endio-write]
root         586  0.0  0.0      0     0 ?        I<   Feb13   0:00 [kworker/R-btrfs-compressed-write]
root         587  0.0  0.0      0     0 ?        I<   Feb13   0:00 [kworker/R-btrfs-freespace-write]
root         588  0.0  0.0      0     0 ?        I<   Feb13   0:00 [kworker/R-btrfs-delayed-meta]
root         589  0.0  0.0      0     0 ?        I<   Feb13   0:00 [kworker/R-btrfs-qgroup-rescan]
root         590  0.0  0.0      0     0 ?        S    Feb13   0:00 [btrfs-cleaner]
root         591  0.0  0.0      0     0 ?        S    Feb13   1:57 [btrfs-transaction]
root         592  0.0  0.0      0     0 ?        S    Feb13   0:00 [card1-crtc0]
root         593  0.0  0.0      0     0 ?        S    Feb13   0:00 [card1-crtc1]
