UID        PID    PPID   LWP    C    NLWP   %CPU    %MEM    VSZ      RSS      TTY      STAT     START  TIME         PSR    STIME        COMMAND
root       212    2      212    0    1      0.0     0.0     0        ?        ?        I<       Feb13  0:00         00:00:00 [kworker/14:1H-kblockd] [kworker/14:1H-kblockd]
root       213    2      213    0    1      0.0     0.0     0        ?        ?        I<       Feb13  0:00         00:00:00 [kworker/R-kstrp] [kworker/R-kstrp]
root       298    2      298    0    1      0.0     0.0     0        ?        ?        I<       Feb13  0:02         00:00:02 [kworker/6:1H-i915_cleanup] [kworker/6:1H-i915_cleanup]
root       301    2      301    0    1      0.0     0.0     0        ?        ?        I<       Feb13  0:01         00:00:01 [kworker/0:1H-i915_cleanup] [kworker/0:1H-i915_cleanup]
root       303    2      303    0    1      0.0     0.0     0        ?        ?        I<       Feb13  0:02         00:00:02 [kworker/4:1H-i915_cleanup] [kworker/4:1H-i915_cleanup]
root       346    2      346    0    1      0.0     0.0     0        ?        ?        I<       Feb13  0:02         00:00:02 [kworker/19:1H-i915_cleanup] [kworker/19:1H-i915_cleanup]
root       349    2      349    0    1      0.0     0.0     0        ?        ?        I<       Feb13  0:01         00:00:01 [kworker/2:1H-i915_cleanup] [kworker/2:1H-i915_cleanup]
root       351    2      351    0    1      0.0     0.0     0        ?        ?        I<       Feb13  0:01         00:00:01 [kworker/8:1H-i915_cleanup] [kworker/8:1H-i915_cleanup]
root       354    2      354    0    1      0.0     0.0     0        ?        ?        I<       Feb13  0:01         00:00:01 [kworker/13:1H-i915_cleanup] [kworker/13:1H-i915_cleanup]
root       355    2      355    0    1      0.0     0.0     0        ?        ?        I<       Feb13  0:01         00:00:01 [kworker/12:1H-kblockd] [kworker/12:1H-kblockd]
root       356    2      356    0    1      0.0     0.0     0        ?        ?        I<       Feb13  0:01         00:00:01 [kworker/10:1H-kblockd] [kworker/10:1H-kblockd]
root       388    2      388    0    1      0.0     0.0     0        ?        ?        I<       Feb13  0:02         00:00:02 [kworker/17:1H-i915_cleanup] [kworker/17:1H-i915_cleanup]
root       516    2      516    0    1      0.0     0.0     0        ?        ?        I<       Feb13  0:11         00:00:11 [kworker/3:1H-events_highpri] [kworker/3:1H-events_highpri]
root       527    2      527    0    1      0.0     0.0     0        ?        ?        I<       Feb13  0:00         00:00:00 [kworker/15:1H-kblockd] [kworker/15:1H-kblockd]
root       530    2      530    0    1      0.0     0.0     0        ?        ?        I<       Feb13  0:00         00:00:00 [kworker/5:1H-kblockd] [kworker/5:1H-kblockd]
root       531    2      531    0    1      0.0     0.0     0        ?        ?        I<       Feb13  0:03         00:00:03 [kworker/9:1H-kblockd] [kworker/9:1H-kblockd]
root       532    2      532    0    1      0.0     0.0     0        ?        ?        I<       Feb13  0:05         00:00:05 [kworker/11:1H-i915_cleanup] [kworker/11:1H-i915_cleanup]
root       533    2      533    0    1      0.0     0.0     0        ?        ?        I<       Feb13  0:02         00:00:02 [kworker/18:1H-i915_cleanup] [kworker/18:1H-i915_cleanup]
root       534    2      534    0    1      0.0     0.0     0        ?        ?        I<       Feb13  0:01         00:00:01 [kworker/7:1H-kblockd] [kworker/7:1H-kblockd]
root       535    2      535    0    1      0.0     0.0     0        ?        ?        I<       Feb13  0:00         00:00:00 [kworker/1:1H-kblockd] [kworker/1:1H-kblockd]
root       540    2      540    0    1      0.0     0.0     0        ?        ?        S        Feb13  1:52         00:01:52 [irq/132-GXTP5100:00] [irq/132-GXTP5100:00]
root       555    2      555    0    1      0.0     0.0     0        ?        ?        I<       Feb13  0:00         00:00:00 [kworker/R-nvme-wq] [kworker/R-nvme-wq]
root       556    2      556    0    1      0.0     0.0     0        ?        ?        I<       Feb13  0:00         00:00:00 [kworker/R-nvme-reset-wq] [kworker/R-nvme-reset-wq]
root       557    2      557    0    1      0.0     0.0     0        ?        ?        I<       Feb13  0:00         00:00:00 [kworker/R-nvme-delete-wq] [kworker/R-nvme-delete-wq]
root       558    2      558    0    1      0.0     0.0     0        ?        ?        I<       Feb13  0:00         00:00:00 [kworker/R-nvme-auth-wq] [kworker/R-nvme-auth-wq]
root       560    2      560    0    1      0.0     0.0     0        ?        ?        I<       Feb13  0:00         00:00:00 [kworker/R-USBC000:00-con1] [kworker/R-USBC000:00-con1]
root       572    2      572    0    1      0.0     0.0     0        ?        ?        I<       Feb13  0:00         00:00:00 [kworker/R-ttm] [kworker/R-ttm]
root       577    2      577    0    1      0.0     0.0     0        ?        ?        I<       Feb13  0:00         00:00:00 [kworker/R-btrfs-worker] [kworker/R-btrfs-worker]
root       578    2      578    0    1      0.0     0.0     0        ?        ?        I<       Feb13  0:00         00:00:00 [kworker/R-btrfs-delalloc] [kworker/R-btrfs-delalloc]
root       579    2      579    0    1      0.0     0.0     0        ?        ?        I<       Feb13  0:00         00:00:00 [kworker/R-btrfs-flush_delalloc] [kworker/R-btrfs-flush_delalloc]
